City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,tual,-5.6667,132.75,25.28,85,35,7.93,ID,1695208768
134,lihue,21.9789,-159.3672,24.77,83,75,8.75,US,1695208769
135,lorengau,-2.0226,147.2712,27.76,81,94,3.61,PG,1695208769
136,college,64.8569,-147.8028,5.44,80,100,3.6,US,1695208769
137,kamakwie,9.5,-12.2333,27.78,79,86,0.82,SL,1695208769
138,santo antonio do ica,-3.1022,-67.9397,22.76,98,82,0.6,BR,1695208769
139,constantia,44.1833,28.65,25.39,54,100,3.67,RO,1695208680
140,isafjordur,66.0755,-23.124,7.02,70,75,11.32,IS,1695208769
141,tazacorte,28.629,-17.9293,25.54,82,20,4.63,ES,1695208695
142,saldanha,-33.0117,17.9442,16.71,60,0,6.34,ZA,1695208677
143,turkmenbasy,40.0222,52.9552,26.43,25,0,4.12,TM,1695208591
144,port hedland,-20.3167,118.5667,25.03,83,55,5.14,AU,1695208770
145,klaksvik,62.2266,-6.589,11.51,91,100,13.43,FO,1695208770
146,west island,-12.1568,96.8225,25.99,78,40,6.17,CC,1695208770
147,labrador city,52.9463,-66.9114,5.95,93,100,3.09,CA,1695208770
148,peniche,39.3558,-9.3811,21.27,81,99,3.94,PT,1695208770
149,alice springs,-23.7,133.8833,27.75,17,90,5.14,AU,1695208770
150,mianyang,31.4593,104.7542,22.34,63,100,5.2,CN,1695208770
151,banda aceh,5.5577,95.3222,27.22,80,94,0.68,ID,1695208765
152,tazovsky,67.4667,78.7,5.02,95,100,8.9,RU,1695208541
153,urengoy,65.9667,78.3667,7.84,91,100,6.71,RU,1695208771
154,praia da vitoria,38.7333,-27.0667,24.14,88,75,5.39,PT,1695208771
155,saipan,15.1355,145.701,28.39,89,40,6.69,MP,1695208771
156,erdenet,49.0333,104.0833,10.72,66,41,0.22,MN,1695208771
157,fort bragg,35.139,-79.006,18.23,92,75,0.0,US,1695208771
158,xingcheng,40.6167,120.7167,19.9,41,100,5.39,CN,1695208772
159,aasiaat,68.7098,-52.8699,-4.59,82,75,2.41,GL,1695208772
160,cascais,38.6979,-9.4215,22.76,74,40,8.94,PT,1695208772
161,abeche,13.8292,20.8324,35.06,24,98,0.93,TD,1695208772
162,avarua,-21.2078,-159.775,21.03,60,75,3.09,CK,1695208772
163,stanley,54.868,-1.6985,16.51,91,100,7.2,GB,1695208772
164,badger,64.8,-147.5333,5.39,82,75,3.6,US,1695208772
165,ain sefra,32.75,-0.5833,29.02,26,61,3.33,DZ,1695208772
166,hithadhoo,-0.6,73.0833,27.89,79,66,5.38,MV,1695208773
167,fuerte olimpo,-21.0415,-57.8738,28.87,41,53,1.76,PY,1695208773
168,langsa,4.4683,97.9683,24.87,95,100,0.63,ID,1695208773
169,howrah,22.5892,88.3103,28.0,89,100,2.06,IN,1695207925
170,hakkari,37.5833,44.1667,25.88,15,40,3.09,TR,1695208291
171,utrik,11.2278,169.8474,28.57,76,82,5.83,MH,1695208773
172,ipaba,-19.4136,-42.4194,22.08,64,100,1.54,BR,1695208773
173,port saint john's,-31.6229,29.5448,21.1,60,14,7.96,ZA,1695208773
174,haiku-pauwela,20.9219,-156.3051,24.47,74,0,4.47,US,1695208773
175,goundam,16.4145,-3.6708,35.9,30,11,2.32,ML,1695208774
176,lazaro cardenas,17.9583,-102.2,25.93,87,46,1.57,MX,1695208774
177,queenstown,-31.8976,26.8753,24.48,10,0,6.68,ZA,1695208774
178,holualoa,19.6228,-155.9522,23.91,78,75,2.24,US,1695208774
179,fortaleza,-3.7227,-38.5247,29.07,65,40,6.17,BR,1695208578
180,aginskoye,51.1,114.53,13.03,43,91,2.24,RU,1695208616
181,tianpeng,30.9866,103.9393,24.56,68,78,4.16,CN,1695208774
182,mpika,-11.8343,31.4529,32.29,15,3,3.38,ZM,1695208775
183,kruisfontein,-34.0033,24.7314,19.94,51,20,6.88,ZA,1695208775
184,dudinka,69.4058,86.1778,7.57,84,100,6.34,RU,1695208775
185,sake,-1.5736,29.045,23.82,73,34,0.3,CD,1695208775
186,afaahiti,-17.75,-149.2833,22.93,75,35,6.35,PF,1695208775
187,yamada,39.4667,141.95,22.3,81,100,2.37,JP,1695208775
188,ebon,4.582,168.6964,28.58,75,48,2.56,MH,1695208776
189,uvalde,29.3669,-99.767,21.18,89,0,2.57,US,1695208776
190,vilyuchinsk,52.9306,158.4028,9.15,88,100,2.59,RU,1695208776
191,sao vicente,-23.9631,-46.3919,27.37,73,0,1.03,BR,1695208641
192,betio village,1.358,172.9211,27.02,74,98,0.32,KI,1695208776
193,la ronge,55.1001,-105.2842,11.14,71,100,1.54,CA,1695208776
194,eskhar,49.7987,36.5883,26.56,24,26,4.81,UA,1695208776
195,port lincoln,-34.7333,135.8667,13.21,77,22,6.33,AU,1695208777
196,genhe,50.7833,121.5167,7.78,88,83,1.25,CN,1695208777
197,choyr,46.3611,108.3611,14.16,31,96,2.72,MN,1695208777
198,luanda,-8.8368,13.2343,24.76,74,6,6.13,AO,1695208546
199,inari,68.906,27.0288,3.11,87,100,8.09,FI,1695208506
200,tsiombe,-25.3,45.4833,33.61,29,0,6.03,MG,1695208777
201,anadyr,64.75,177.4833,-0.72,86,0,2.0,RU,1695208749
202,olonkinbyen,70.9221,-8.7187,3.93,68,99,6.26,SJ,1695208777
203,sur,22.5667,59.5289,32.88,49,96,2.26,OM,1695208778
204,silsbee,30.3491,-94.178,24.87,97,0,1.44,US,1695208778
205,aanekoski,62.6946,25.818,14.92,12,58,6.78,FI,1695208778
206,kill devil hills,36.0307,-75.676,21.66,97,0,0.0,US,1695208761
207,anan,33.9167,134.65,27.88,87,100,5.17,JP,1695208778
208,bambamarca,-6.6833,-78.5333,10.67,97,59,1.9,PE,1695208778
209,veraval,20.9,70.3667,29.38,73,88,5.42,IN,1695208673
210,shchyolkino,45.4291,35.8223,22.88,53,4,6.1,UA,1695208779
211,ankang,32.68,109.0172,18.44,98,100,0.72,CN,1695208779
212,alesund,62.4723,6.1549,15.5,63,0,3.09,NO,1695208779
213,rondonopolis,-16.4708,-54.6356,30.5,43,25,1.04,BR,1695208779
214,hasaki,35.7333,140.8333,26.27,84,100,3.31,JP,1695208779
215,okhotsk,59.3833,143.3,6.09,82,100,9.62,RU,1695208779
216,hamilton,39.1834,-84.5333,15.55,86,0,3.6,US,1695208779
217,kertih,4.5141,103.4483,27.23,78,63,1.23,MY,1695208780
218,tarija,-21.5355,-64.7296,12.95,76,1,0.0,BO,1695208780
219,yaren,-0.5472,166.916,28.16,76,35,2.12,NR,1695208780
220,flying fish cove,-10.4217,105.6791,24.82,83,100,4.12,CX,1695208646
221,patacamaya,-17.2333,-67.9167,6.59,49,8,1.71,BO,1695208780
222,vavuniya,8.7514,80.4971,31.51,52,95,3.11,LK,1695208780
223,coxen hole,16.3244,-86.5366,28.49,78,100,5.44,HN,1695208780
224,lebu,-37.6167,-73.65,7.27,67,100,1.69,CL,1695208781
225,nagqu,31.5,92.0,10.76,54,83,2.82,CN,1695208781
226,gonabad,34.3529,58.6837,28.04,21,0,4.12,IR,1695208781
227,el granada,37.5027,-122.4694,16.94,90,20,3.6,US,1695208781
228,wynyard,-41.0,145.7167,6.66,82,27,3.77,AU,1695208781
229,kismayo,-0.3582,42.5454,28.26,66,21,7.57,SO,1695208781
230,yurty,56.0498,97.6348,15.46,54,89,0.88,RU,1695208782
231,dakhla,23.6848,-15.958,24.01,69,62,10.8,EH,1695208782
232,kirensk,57.7853,108.1119,7.18,72,39,2.96,RU,1695208782
233,mata-utu,-13.2816,-176.1745,27.04,75,99,10.83,WF,1695208782
234,tralee,52.2704,-9.7026,15.14,77,40,8.75,IE,1695208782
235,vernon,50.2581,-119.2691,10.72,90,100,0.0,CA,1695208782
236,nikolayevsk-on-amure,53.1406,140.73,4.02,55,29,5.24,RU,1695208782
237,dalandzadgad,43.5708,104.425,19.58,20,72,3.88,MN,1695208782
238,felege neway,6.3,36.8833,27.23,54,56,0.64,ET,1695208782
239,moab,38.5733,-109.5498,16.38,37,0,1.7,US,1695208783
240,saint-pierre,-21.3393,55.4781,26.82,61,0,4.12,RE,1695208783
241,mount gambier,-37.8333,140.7667,8.46,88,72,3.96,AU,1695208783
242,barmer,25.75,71.3833,32.39,55,78,5.5,IN,1695208783
243,beloyarskiy,63.7119,66.6722,12.78,47,100,6.26,RU,1695208783
244,minden,52.2833,8.9167,23.04,62,75,6.17,DE,1695208693
245,port alfred,-33.5906,26.891,20.1,67,62,3.58,ZA,1695208783
246,nanlong,31.3533,106.0631,21.56,84,100,2.95,CN,1695208784
247,punta cana,18.5818,-68.4043,26.87,89,20,2.06,DO,1695208784
248,east london,-33.0153,27.9116,20.52,60,20,10.8,ZA,1695208784
249,tolanaro,-25.0319,46.9987,28.38,55,0,8.47,MG,1695208784
250,barra,-11.0894,-43.1417,25.36,54,0,4.37,BR,1695208784
251,champerico,14.3,-91.9167,25.34,79,78,2.26,GT,1695208784
252,kenai,60.5544,-151.2583,7.05,85,100,2.57,US,1695208504
253,mil'kovo,55.6078,37.7956,25.73,36,40,6.94,RU,1695208785
254,hawaiian paradise park,19.5933,-154.9731,23.91,95,75,2.57,US,1695208785
255,santana,-0.0583,-51.1817,29.1,74,20,2.57,BR,1695208785
256,susuman,62.7833,148.1667,-1.25,92,100,4.16,RU,1695208785
257,mahanoro,-19.9,48.8,26.1,61,34,4.65,MG,1695208785
258,beli,7.8587,10.9719,31.85,58,76,0.71,NG,1695208785
259,baiyin,36.5583,104.2081,16.42,62,93,4.62,CN,1695208785
260,nemuro,43.3236,145.575,15.14,72,97,9.16,JP,1695208786
261,kerikeri,-35.2268,173.9474,11.06,90,93,0.82,NZ,1695208786
262,gadzhiyevo,69.2551,33.3362,4.42,82,100,10.73,RU,1695208786
263,prachuap khiri khan,12.2167,99.75,26.54,81,92,1.28,TH,1695208786
264,colonia,50.9333,6.95,23.36,61,20,7.2,DE,1695208528
265,chanika,-5.4167,38.0167,30.63,34,34,3.98,TZ,1695208786
266,shubarshi,48.5872,57.1869,21.17,38,74,3.43,KZ,1695208786
267,qaqortoq,60.7167,-46.0333,5.29,61,100,2.52,GL,1695208786
268,thinadhoo,0.5333,72.9333,28.11,78,97,4.9,MV,1695208787
269,bubaque,11.2833,-15.8333,26.5,83,100,6.52,GW,1695208787
270,nurabad,34.0734,47.9725,29.2,9,0,1.81,IR,1695208787
271,kristiansund,63.1115,7.732,16.03,62,20,3.09,NO,1695208787
272,hilo,19.7297,-155.09,24.04,91,75,2.57,US,1695208787
273,lamu,-2.2717,40.902,30.12,68,61,6.35,KE,1695208787
274,keflavik,64.0049,-22.5624,10.95,62,0,4.12,IS,1695208767
275,coahuayana de hidalgo,18.7,-103.6583,25.34,90,84,1.5,MX,1695208788
276,mombasa,-4.0547,39.6636,30.23,54,20,7.2,KE,1695208569
277,astaneh-ye ashrafiyeh,37.2596,49.9444,22.96,77,98,1.82,IR,1695208788
278,taoudenni,22.6783,-3.9836,42.4,7,1,3.17,ML,1695208788
279,nizhnesortymskiy,62.4397,71.7603,12.43,46,100,9.48,RU,1695208788
280,new milford,40.9327,-74.0179,16.01,85,0,1.54,US,1695208788
281,fort st. john,56.2499,-120.8529,5.94,87,100,2.06,CA,1695208788
282,camana,-16.6228,-72.7111,17.51,87,65,3.1,PE,1695208788
